-66.44,-50.3,,-0.04
-66.66,-50.32,,-0.04
-66.87,-50.34,,-0.04
-67.08,-50.36,,-0.03
-67.29,-50.37,,-0.03
-67.5,-50.39,,-0.03
-67.71,-50.41,,-0.02
-67.92,-50.43,,-0.02
-68.14,-50.45,,-0.01
-68.35,-50.47,,-0.01
-68.56,-50.49,,0
-68.77,-50.51,,0
-68.98,-50.53,,0.01
-69.19,-50.55,,0.01
-69.4,-50.57,,0.02
-69.62,-50.59,,0.02
-69.83,-50.61,,0.03
-70.04,-50.63,,0.03
-70.25,-50.65,,0.04
-70.45,-50.68,,0.04
-70.66,-50.7,,0.05
-70.87,-50.72,,0.05
-71.08,-50.75,,0.06
-71.29,-50.78,,0.06
-71.5,-50.8,,0.07
-71.7,-50.83,,0.07
-71.91,-50.87,,0.08
-72.12,-50.9,,0.08
-72.33,-50.93,,0.09
-72.53,-50.97,,0.09
-72.74,-51.01,,0.09
-72.95,-51.04,,0.09
-73.15,-51.08,,0.09
-73.36,-51.12,,0.09
-73.56,-51.17,,0.09
-73.76,-51.21,,0.09
-73.97,-51.25,,0.09
-74.17,-51.3,,0.08
-74.37,-51.35,,0.08
-74.57,-51.39,,0.07
-74.78,-51.44,,0.07
-74.98,-51.49,,0.06
-75.18,-51.54,,0.05
-75.38,-51.6,,0.04
-75.57,-51.65,,0.03
-75.77,-51.7,,0.03
-75.97,-51.76,,0.02
-76.17,-51.81,,0.01
-76.37,-51.87,,0
-76.56,-51.92,,-0.01
-76.76,-51.97,,-0.02
-76.96,-52.02,,-0.03
-77.15,-52.08,,-0.04
-77.35,-52.13,,-0.04
-77.55,-52.18,,-0.05
-77.74,-52.22,,-0.06
-77.94,-52.27,,-0.07
-78.14,-52.32,,-0.08
-78.33,-52.36,,-0.09
-78.53,-52.4,,-0.1
-78.73,-52.43,,-0.1
-78.93,-52.47,,-0.11
-79.13,-52.5,,-0.12
-79.33,-52.53,,-0.12
-79.53,-52.56,,-0.13
-79.73,-52.59,,-0.14
-79.93,-52.62,,-0.14
-80.13,-52.64,,-0.14
-80.34,-52.66,,-0.15
-80.54,-52.68,,-0.15
-80.75,-52.69,,-0.15
