x,y,z,yaw,velocity,change_flag
62.237,-85.7123,-2.2007,-1.3845,22.8763,0
62.4912,-86.9771,-2.2162,-1.3853,22.8048,0
62.7336,-88.2531,-2.2338,-1.3869,24.255,0
62.9548,-89.4704,-2.2621,-1.3891,21.3858,0
63.1745,-90.7491,-2.2534,-1.391,22.9502,0
63.405,-91.9805,-2.2763,-1.3926,23.3555,0
63.6199,-93.2281,-2.2813,-1.3937,22.0846,0
63.8451,-94.5145,-2.3017,-1.3949,23.1712,0
64.0582,-95.7378,-2.3099,-1.3956,22.4201,0
64.2708,-96.9818,-2.3168,-1.3956,21.5123,0
64.4862,-98.2372,-2.321,-1.3953,23.5228,0
64.6944,-99.4667,-2.3314,-1.3946,22.1789,0
64.9095,-100.7076,-2.3346,-1.3936,22.4757,0
65.1152,-101.9441,-2.3388,-1.3928,23.344,0
65.3238,-103.1294,-2.3451,-1.3914,21.4043,0
65.5526,-104.3778,-2.3566,-1.3899,22.8896,0
65.7565,-105.5772,-2.356,-1.3888,22.4202,0
65.946,-106.7896,-2.3602,-1.3891,21.3714,0
66.1737,-107.991,-2.3884,-1.3893,22.2578,0
66.3614,-109.1742,-2.3756,-1.3898,20.6087,0
66.6126,-110.4043,-2.387,-1.3904,22.2634,0
66.8014,-111.5852,-2.4168,-1.3898,22.0648,0
66.9989,-112.7735,-2.3992,-1.3894,20.9476,0
67.22,-113.957,-2.4008,-1.3883,21.533,0
67.4548,-115.1395,-2.4026,-1.3862,21.7649,0
67.6649,-116.3003,-2.4061,-1.3827,21.0343,0
67.8976,-117.4654,-2.4064,-1.3779,21.6186,0
68.1204,-118.6233,-2.4227,-1.372,20.9657,0
68.3163,-119.7544,-2.4307,-1.3653,20.4531,0
68.558,-120.9361,-2.4396,-1.3567,22.3762,0
68.8076,-122.0952,-2.4419,-1.3456,20.5994,0
69.0709,-123.213,-2.4361,-1.332,20.2989,0
69.3602,-124.3872,-2.4565,-1.3141,22.1738,0
69.6787,-125.548,-2.4373,-1.2951,21.0623,0
69.9735,-126.7333,-2.426,-1.277,22.4242,0
70.307,-127.8346,-2.4228,-1.2575,20.5324,0
70.6622,-128.938,-2.4068,-1.2364,21.2472,0
71.0469,-130.089,-2.399,-1.2121,21.8598,0
71.4668,-131.2274,-2.4071,-1.1869,21.9683,0
71.8948,-132.3012,-2.4021,-1.1608,20.5181,0
72.3605,-133.3942,-2.4088,-1.1349,21.5983,0
72.9128,-134.4938,-2.397,-1.1076,22.0815,0
73.4152,-135.5753,-2.405,-1.0807,21.2138,0
73.9904,-136.6324,-2.4188,-1.054,22.6683,0
74.5614,-137.666,-2.4187,-1.0282,21.6916,0
75.2188,-138.7283,-2.4222,-1.0017,22.2588,0
75.8937,-139.7883,-2.4364,-0.9758,22.749,0
76.5743,-140.807,-2.4385,-0.9504,21.68,0
77.2825,-141.7979,-2.4469,-0.9259,21.8996,0
78.0396,-142.7961,-2.4526,-0.9002,22.4153,0
78.8304,-143.8007,-2.4557,-0.8751,23.0338,0
79.6605,-144.8072,-2.4589,-0.85,23.3999,0
